Ürün Adı,Fiyat,URL,Market
Biber Acı Şili Kırmızı Kg,"139,95 TL",https://www.migros.com.tr/biber-aci-sili-kirmizi-kg-p-1ac25c9,Migros
Nar Kg,"89,95 TL",https://www.migros.com.tr/nar-kg-p-1a06990,Migros
Doğanay Gurme Acılı Şalgam Cam 750 Ml,"67,50 TL",https://www.migros.com.tr/doganay-gurme-acili-salgam-cam-750-ml-p-7ad698,Migros
Doğanay Gurme Sade Şalgam Cam 750 Ml,"67,50 TL",https://www.migros.com.tr/doganay-gurme-sade-salgam-cam-750-ml-p-7ad699,Migros
Doğanay Şalgam Suyu Acılı 1000 Ml,"39,50 TL",https://www.migros.com.tr/doganay-salgam-suyu-acili-1000-ml-p-7b4648,Migros
Doğanay Şalgam Suyu Sade 1000 Ml,"39,50 TL",https://www.migros.com.tr/doganay-salgam-suyu-sade-1000-ml-p-7b4652,Migros
Doğanay Acılı Şalgam Suyu Acılı 300 Ml,"20,95 TL",https://www.migros.com.tr/doganay-acili-salgam-suyu-acili-300-ml-p-7af81d,Migros
Doğanay Şalgam Suyu Sade 300 Ml,"20,95 TL",https://www.migros.com.tr/doganay-salgam-suyu-sade-300-ml-p-7b463c,Migros
Assu Mineralli Su 5 L,"23,50 TL",https://www.migros.com.tr/assu-mineralli-su-5-l-p-7afc9b,Migros
Beypazarı Maden Suyu 6X200 Ml,"37,90 TL",https://www.migros.com.tr/beypazari-maden-suyu-6x200-ml-p-7ab106,Migros
Kurukahveci Mehmet Efendi Türk Kahvesi 100 G,"66,50 TL",https://www.migros.com.tr/kurukahveci-mehmet-efendi-turk-kahvesi-100-g-p-310151,Migros
Erikli Doğal Kaynak Suyu 6x1 L,"116,50 TL",https://www.migros.com.tr/erikli-dogal-kaynak-suyu-6x1-l-p-7b0507,Migros
Coca-Cola Orijinal Tat Pet 1 L,"40,00 TL",https://www.migros.com.tr/coca-cola-orijinal-tat-pet-1-l-p-7a3bcc,Migros
Hamidiye Doğal Mineralli Su 0.5 L,"3,95 TL",https://www.migros.com.tr/hamidiye-dogal-mineralli-su-05-l-p-7afcba,Migros
Hamidiye Doğal Mineralli Su 1.5 L,"7,95 TL",https://www.migros.com.tr/hamidiye-dogal-mineralli-su-15-l-p-7afcbb,Migros
Coca-Cola Zero Sugar Pet 1 L,"40,00 TL",https://www.migros.com.tr/coca-cola-zero-sugar-pet-1-l-p-7a3bcd,Migros
Erikli Doğal Kaynak Suyu 12x500 Ml,"138,75 TL",https://www.migros.com.tr/erikli-dogal-kaynak-suyu-12x500-ml-p-7afc7c,Migros
Hamidiye Kaynak Suyu 5 L Pet,"23,50 TL",https://www.migros.com.tr/hamidiye-kaynak-suyu-5-l-pet-p-7a8047,Migros
Sırma Doğal Maden Suyu 6x200 Ml Cam,"47,50 TL",https://www.migros.com.tr/sirma-dogal-maden-suyu-6x200-ml-cam-p-7ab1c4,Migros
Sütaş Pratik Şişe Ayran 2 L,"69,95 TL",https://www.migros.com.tr/sutas-pratik-sise-ayran-2-l-p-b03f09,Migros
Uludağ Doğal Maden Suyu 6X200 Ml,"49,90 TL",https://www.migros.com.tr/uludag-dogal-maden-suyu-6x200-ml-p-7ab0ca,Migros
Migros Ayran 1500 Ml,Fiyat bulunamadı,https://www.migros.com.tr/migros-ayran-1500-ml-p-b061d0,Migros
"Lipton Ice Tea Şeftali Aromalı 1,5 L","45,00 TL",https://www.migros.com.tr/lipton-ice-tea-seftali-aromali-15-l-p-7afacc,Migros
Sütaş Pratik Şişe Ayran 1 L,"36,75 TL",https://www.migros.com.tr/sutas-pratik-sise-ayran-1-l-p-b03f06,Migros
Altınkılıç Kefir 1 L,"66,50 TL",https://www.migros.com.tr/altinkilic-kefir-1-l-p-b040b4,Migros
Saka Doğal Mineralli Su 5 L,"39,75 TL",https://www.migros.com.tr/saka-dogal-mineralli-su-5-l-p-7b081d,Migros
Assu Mineralli Su 0.5 L,"3,95 TL",https://www.migros.com.tr/assu-mineralli-su-05-l-p-7afc99,Migros
Nescafe 3'ü 1 Arada 17.5 G x 15'li,"99,95 TL",https://www.migros.com.tr/nescafe-3u-1-arada-175-g-x-15li-p-312c7b,Migros
Altınkılıç Laktozsuz Kefir 1 L,"73,50 TL",https://www.migros.com.tr/altinkilic-laktozsuz-kefir-1-l-p-b04113,Migros
Kızılay Erzincan Doğal Maden Suyu 6X200 Ml,"37,90 TL",https://www.migros.com.tr/kizilay-erzincan-dogal-maden-suyu-6x200-ml-p-87cde5,Migros
Saka Doğal Mineralli Su 6x1 L,"106,50 TL",https://www.migros.com.tr/saka-dogal-mineralli-su-6x1-l-p-7afcd3,Migros
Uludağ Limonata Şekersiz 1 L,Fiyat bulunamadı,https://www.migros.com.tr/uludag-limonata-sekersiz-1-l-p-7afd0c,Migros
Assu Mineralli Su 1.5 L,"7,95 TL",https://www.migros.com.tr/assu-mineralli-su-15-l-p-7afc9a,Migros
"Coca-Cola Orijinal Tat Pet 1,5 L","45,00 TL",https://www.migros.com.tr/coca-cola-orijinal-tat-pet-15-l-p-7a3c97,Migros
Sprite Limon Aromalı Gazoz Kutu 6 x 250 Ml,Fiyat bulunamadı,https://www.migros.com.tr/sprite-limon-aromali-gazoz-kutu-6-x-250-ml-p-7a9abe,Migros
Coca-Cola Orijinal Tat Pet 4x1 L,"153,50 TL",https://www.migros.com.tr/coca-cola-orijinal-tat-pet-4x1-l-p-7a3c99,Migros
Erikli Doğal Kaynak Suyu 5L Pet Şişe,"49,50 TL",https://www.migros.com.tr/erikli-dogal-kaynak-suyu-5l-pet-sise-p-7b04fb,Migros
Fanta Portakal Aromalı Pet 1 L,"40,00 TL",https://www.migros.com.tr/fanta-portakal-aromali-pet-1-l-p-7a67f0,Migros
Saka Doğal Maden Suyu 6X200 Ml,"44,00 TL",https://www.migros.com.tr/saka-dogal-maden-suyu-6x200-ml-p-7aae79,Migros
Pepsi Kola Pet 4 x 1 L,"145,95 TL",https://www.migros.com.tr/pepsi-kola-pet-4-x-1-l-p-7a3d5d,Migros
Doğuş Tiryaki Çay 1000 G,"185,00 TL",https://www.migros.com.tr/dogus-tiryaki-cay-1000-g-p-2f93b4,Migros
Kızılay Afyonkarahisar Doğal Maden Suyu 6x200 Ml,"37,90 TL",https://www.migros.com.tr/kizilay-afyonkarahisar-dogal-maden-suyu-6x200-ml-p-7ab0cf,Migros
Erikli Doğal Kaynak Suyu 10L Pet Şişe,"88,95 TL",https://www.migros.com.tr/erikli-dogal-kaynak-suyu-10l-pet-sise-p-7b04fd,Migros
"Lipton Ice Tea Mango Pet 1,5 L","45,00 TL",https://www.migros.com.tr/lipton-ice-tea-mango-pet-15-l-p-7afac9,Migros
Starbucks White Mocha Kahve Karışımı 24 G,"22,95 TL",https://www.migros.com.tr/starbucks-white-mocha-kahve-karisimi-24-g-p-31a153,Migros
Nescafé Gold Ekonomik Paket 180 G,"289,50 TL",https://www.migros.com.tr/nescaf-gold-ekonomik-paket-180-g-p-314f75,Migros
Çaykur Tiryaki Çayı 1000 G,"232,00 TL",https://www.migros.com.tr/caykur-tiryaki-cayi-1000-g-p-2f7993,Migros
"Coca-Cola Zero Sugar Pet 1,5 L","45,00 TL",https://www.migros.com.tr/coca-cola-zero-sugar-pet-15-l-p-7a3c98,Migros
Nestlé Pure Life Doğal Kaynak Suyu 5 lt Pet,"48,95 TL",https://www.migros.com.tr/nestl-pure-life-dogal-kaynak-suyu-5-lt-pet-p-7b02d9,Migros
Doğanay Şalgam Suyu Sade 1000 Ml,"39,50 TL",https://www.migros.com.tr/doganay-salgam-suyu-sade-1000-ml-p-7b4652,Migros
Pepsi Özel Kutu 4 x 250 Ml,"126,00 TL",https://www.migros.com.tr/pepsi-ozel-kutu-4-x-250-ml-p-7a3a47,Migros
Pepsi Zero Sugar Kola Pet 4 x 1 L,"145,95 TL",https://www.migros.com.tr/pepsi-zero-sugar-kola-pet-4-x-1-l-p-7a3d8e,Migros
"Lipton Ice Tea Limon Aromalı 1,5 L","45,00 TL",https://www.migros.com.tr/lipton-ice-tea-limon-aromali-15-l-p-7afacb,Migros
Starbucks Caffe Latte Premium Kahve Karışımı 18 G,"22,95 TL",https://www.migros.com.tr/starbucks-caffe-latte-premium-kahve-karisimi-18-g-p-31a14d,Migros
Çamlıca Limon Aromalı Gazoz 1 L,"31,50 TL",https://www.migros.com.tr/camlica-limon-aromali-gazoz-1-l-p-7a9bb2,Migros
"Eker Ayran 1,5 L","65,00 TL",https://www.migros.com.tr/eker-ayran-15-l-p-b0475c,Migros
Cappy Pulpy Portakallı İçecek Pet 1 L,"56,00 TL",https://www.migros.com.tr/cappy-pulpy-portakalli-icecek-pet-1-l-p-7ae752,Migros
Cappy Geleneksel Limonata Pet 1 L,"38,00 TL",https://www.migros.com.tr/cappy-geleneksel-limonata-pet-1-l-p-7ae742,Migros
Coca-Cola Light Pet 1 L,"40,00 TL",https://www.migros.com.tr/coca-cola-light-pet-1-l-p-7a3c95,Migros
Starbucks Caffe Mocha Premium Kahve Karışımı 22 G,"22,95 TL",https://www.migros.com.tr/starbucks-caffe-mocha-premium-kahve-karisimi-22-g-p-31a150,Migros
Monster Ultra Şekersiz Enerji İçeceği Kutu 500 ML,"50,00 TL",https://www.migros.com.tr/monster-ultra-sekersiz-enerji-icecegi-kutu-500-ml-p-7bcbff,Migros
Beypazarı Premium Sade Doğal Maden Suyu 750 Ml,"34,95 TL",https://www.migros.com.tr/beypazari-premium-sade-dogal-maden-suyu-750-ml-p-7aaec6,Migros
Migros Filiz Siyah Çay 1000 G,"135,00 TL",https://www.migros.com.tr/migros-filiz-siyah-cay-1000-g-p-2f9638,Migros
"Coca-Cola Orijinal Tat Daha Az Kalori Pet 2,5 L","60,00 TL",https://www.migros.com.tr/coca-cola-orijinal-tat-daha-az-kalori-pet-25-l-p-7a5cdb,Migros
Erikli Doğal Kaynak Suyu 6x1.5 L,"125,95 TL",https://www.migros.com.tr/erikli-dogal-kaynak-suyu-6x15-l-p-7b0508,Migros
Nescafé Classic Ekonomik Paket 100 G,"120,00 TL",https://www.migros.com.tr/nescaf-classic-ekonomik-paket-100-g-p-31273d,Migros
Doğanay Şalgam Suyu Acılı 1000 Ml,"39,50 TL",https://www.migros.com.tr/doganay-salgam-suyu-acili-1000-ml-p-7b4648,Migros
Sırma C+ Limon Aromalı 6x200 Ml,"53,00 TL",https://www.migros.com.tr/sirma-c-limon-aromali-6x200-ml-p-7aaecd,Migros
Cif Sprey Ultra Anında Etki Kir ve Yağ Çözücü 1025 Ml,Fiyat bulunamadı,https://www.migros.com.tr/cif-sprey-ultra-aninda-etki-kir-ve-yag-cozucu-1025-ml-p-1dc14b0,Migros
Cif Sprey Power & Shine Banyo 750 Ml,"114,95 TL",https://www.migros.com.tr/cif-sprey-power-shine-banyo-750-ml-p-1d4f3b3,Migros
Cif Sprey Power & Shine Mutfak 750 Ml,"114,95 TL",https://www.migros.com.tr/cif-sprey-power-shine-mutfak-750-ml-p-1d4f3b4,Migros
Sleepy Yüzey Temizlik Havlusu Beyaz Sabun 100'lü,"133,50 TL",https://www.migros.com.tr/sleepy-yuzey-temizlik-havlusu-beyaz-sabun-100lu-p-1db8525,Migros
Migros Ekonomik Orta Boy Çöp Torbası 30'lu,"28,95 TL",https://www.migros.com.tr/migros-ekonomik-orta-boy-cop-torbasi-30lu-p-1dc13b1,Migros
Migros Ultra Çamaşır Suyu Fresh 1000 Ml,"34,95 TL",https://www.migros.com.tr/migros-ultra-camasir-suyu-fresh-1000-ml-p-1d2749a,Migros
Migros Ekonomik Çöp Torbası Büyük Boy 20 Adet,"34,95 TL",https://www.migros.com.tr/migros-ekonomik-cop-torbasi-buyuk-boy-20-adet-p-1dc27e4,Migros
Domestos Çamaşır Suyu Çam Ferahlığı 3.240 ML,"169,95 TL",https://www.migros.com.tr/domestos-camasir-suyu-cam-ferahligi-3240-ml-p-1d274e0,Migros
Asperox Sarı Güç Sprey 1 L,"99,95 TL",https://www.migros.com.tr/asperox-sari-guc-sprey-1-l-p-1d4f3c4,Migros
Sleepy Yüzey Temizlik Havlusu Çamaşır Sulu 100'lü,"133,50 TL",https://www.migros.com.tr/sleepy-yuzey-temizlik-havlusu-camasir-sulu-100lu-p-1db76e3,Migros
Migros Ekonomik Küçük Boy Çöp Torbası 40 Adet,"24,95 TL",https://www.migros.com.tr/migros-ekonomik-kucuk-boy-cop-torbasi-40-adet-p-1dc13b0,Migros
Selsil Pak Genel Amaçlı Mucize Temizleyici 500 G,"35,95 TL",https://www.migros.com.tr/selsil-pak-genel-amacli-mucize-temizleyici-500-g-p-1ddd6cd,Migros
Yumoş Sıvı Bakım Deterjanı Siyah 42 Yıkama 2520 Ml,"235,95 TL",https://www.migros.com.tr/yumos-sivi-bakim-deterjani-siyah-42-yikama-2520-ml-p-1d1ffe2,Migros
Yumoş Bakım Deterjanı Renkli 42 Yıkama 2520 Ml,"235,95 TL",https://www.migros.com.tr/yumos-bakim-deterjani-renkli-42-yikama-2520-ml-p-1d1ffe0,Migros
Fairy 650 ml Sıvı Bulaşık Deterjanı Limon,"84,95 TL",https://www.migros.com.tr/fairy-650-ml-sivi-bulasik-deterjani-limon-p-1d33814,Migros
Migros Bulaşık Süngeri - Oluklu 5'Li,"21,95 TL",https://www.migros.com.tr/migros-bulasik-sungeri-oluklu-5li-p-1db9e3b,Migros
Asperox Mavi Güç Sprey 1 L,"99,95 TL",https://www.migros.com.tr/asperox-mavi-guc-sprey-1-l-p-1d4ccb4,Migros
Finish Ultimate Plus Hepsi 1 Arada 40 Tablet 488 G,"467,95 TL",https://www.migros.com.tr/finish-ultimate-plus-hepsi-1-arada-40-tablet-488-g-p-1d8b9ea,Migros
Omo Active Oxygen Etkisi Sıvı Çamaşır Deterjanı Beyazlar İçin 1690 ml,"267,95 TL",https://www.migros.com.tr/omo-active-oxygen-etkisi-sivi-camasir-deterjani-beyazlar-icin-1690-ml-p-1cbc71a,Migros
Sleepy Yüzey Temizleme Havlusu Arap Sabunlu 100'lü,"133,50 TL",https://www.migros.com.tr/sleepy-yuzey-temizleme-havlusu-arap-sabunlu-100lu-p-1db76e4,Migros
Migros Bulaşık Makinesi Parlatıcı 500 Ml,"24,95 TL",https://www.migros.com.tr/migros-bulasik-makinesi-parlatici-500-ml-p-1d36072,Migros
Finish Quantum Ultimate %0 21 Tablet 267 G,"270,95 TL",https://www.migros.com.tr/finish-quantum-ultimate-0-21-tablet-267-g-p-1d8b9e4,Migros
Ariel Dağ Esintisi 3 Kg AquaPudra Toz Çamaşır Deterjanı,"239,95 TL",https://www.migros.com.tr/ariel-dag-esintisi-3-kg-aquapudra-toz-camasir-deterjani-p-1cbc712,Migros
Pril Sıvı Bulaşık Deterjanı 4kg Limon,"189,95 TL",https://www.migros.com.tr/pril-sivi-bulasik-deterjani-4kg-limon-p-1d33868,Migros
Porçöz Pas ve Kireç Çözücü 1 L,"69,95 TL",https://www.migros.com.tr/porcoz-pas-ve-kirec-cozucu-1-l-p-1ddd4eb,Migros
Finish Bulaşık Makinesi Tuzu 1500 G,"115,95 TL",https://www.migros.com.tr/finish-bulasik-makinesi-tuzu-1500-g-p-1d081a4,Migros
Domestos Çamaşır Suyu Beyaz Sabun Ferahlığı 750 Ml,"57,95 TL",https://www.migros.com.tr/domestos-camasir-suyu-beyaz-sabun-ferahligi-750-ml-p-1d24f34,Migros
Migros Yüzey Temizleyici Beyaz Sabun Kokulu 1500Ml,"41,95 TL",https://www.migros.com.tr/migros-yuzey-temizleyici-beyaz-sabun-kokulu-1500ml-p-1d4be93,Migros
Porçöz Lavabo Açıcı Granül 4 x 50 G,"99,95 TL",https://www.migros.com.tr/porcoz-lavabo-acici-granul-4-x-50-g-p-1e241c9,Migros
Domestos Tuvalet Bloğu Çam Ormanı 2x50 G,"99,95 TL",https://www.migros.com.tr/domestos-tuvalet-blogu-cam-ormani-2x50-g-p-1ddd6c7,Migros
Mr.Oxy Yüzey Temizlik Havlusu Beyaz Sabun 100'lü,Fiyat bulunamadı,https://www.migros.com.tr/mroxy-yuzey-temizlik-havlusu-beyaz-sabun-100lu-p-1db76fe,Migros
Peros Sıvı Bakım Renk Uzmanı Renkliler 3 L,"249,95 TL",https://www.migros.com.tr/peros-sivi-bakim-renk-uzmani-renkliler-3-l-p-1d1d9ff,Migros
Omo Actıve Oxygen 40 Yıkama 6 Kg,"424,95 TL",https://www.migros.com.tr/omo-active-oxygen-40-yikama-6-kg-p-1cbc71d,Migros
Migros Çöp Torbası Büzgülü Büyük Boy Limon Kokulu 15'li,"42,95 TL",https://www.migros.com.tr/migros-cop-torbasi-buzgulu-buyuk-boy-limon-kokulu-15li-p-1dc27e7,Migros
Yumoş Extra Konsantre Çamaşır Yumuşatıcı Sakura 1440 Ml 60 Yıkama,"176,95 TL",https://www.migros.com.tr/yumos-extra-konsantre-camasir-yumusatici-sakura-1440-ml-60-yikama-p-1d29d61,Migros
Bref Rezervuar Küpleri Okyanus 2'li,"84,95 TL",https://www.migros.com.tr/bref-rezervuar-kupleri-okyanus-2li-p-1ddc2bf,Migros
Huub Slim Askı 10'lu,"99,95 TL",https://www.migros.com.tr/huub-slim-aski-10lu-p-26714fd,Migros
Pril Excellence Duo Jel 900 Ml (50 Yıkama) Yağ Çözücü,"323,95 TL",https://www.migros.com.tr/pril-excellence-duo-jel-900-ml-50-yikama-yag-cozucu-p-1d8b9a1,Migros
Migros Ultra Çamaşır Suyu Ocean 1000 Ml,"34,95 TL",https://www.migros.com.tr/migros-ultra-camasir-suyu-ocean-1000-ml-p-1d2749b,Migros
Migros Lavabo Açıcı 3x75 G,"34,95 TL",https://www.migros.com.tr/migros-lavabo-acici-3x75-g-p-1e2418a,Migros
Domestos Yoğun Kıvamlı Çamaşır Suyu Dağ Esintisi 750 ml,"57,95 TL",https://www.migros.com.tr/domestos-yogun-kivamli-camasir-suyu-dag-esintisi-750-ml-p-1d25103,Migros
OFF! Aqua Pump Losyon Spray 100 Ml,"99,95 TL",https://www.migros.com.tr/off-aqua-pump-losyon-spray-100-ml-p-1e16e19,Migros
Scotch Brite Mikrofiber Bez 3'lü,"154,95 TL",https://www.migros.com.tr/scotch-brite-mikrofiber-bez-3lu-p-1db84f1,Migros
Pril Power Elde Yıkama Sıvı Bulaşık Deterjanı 5 Etki Limon 653 G,"66,95 TL",https://www.migros.com.tr/pril-power-elde-yikama-sivi-bulasik-deterjani-5-etki-limon-653-g-p-1d31701,Migros
Parex Klasik Yeşil Düz Sünger 5'li Eko Paket,"79,95 TL",https://www.migros.com.tr/parex-klasik-yesil-duz-sunger-5li-eko-paket-p-1dbab10,Migros
Perwoll Siyah Sıvı Deterjan 2.97 L,"280,95 TL",https://www.migros.com.tr/perwoll-siyah-sivi-deterjan-297-l-p-1d1d9dc,Migros
Migros Temizlik Bezi 5'li,Fiyat bulunamadı,https://www.migros.com.tr/migros-temizlik-bezi-5li-p-1db84e2,Migros
Porçöz Lavabo Açıcı Granül 2x50 G,"54,95 TL",https://www.migros.com.tr/porcoz-lavabo-acici-granul-2x50-g-p-1e241bc,Migros
Cif Krem Yüzey Temizleyici Altın Işıltısı Amber Kokulu 750 Ml,"79,95 TL",https://www.migros.com.tr/cif-krem-yuzey-temizleyici-altin-isiltisi-amber-kokulu-750-ml-p-1d7cd56,Migros
Cif Ultra Hız & Güç Yağ Çözücü Sprey Leke ve Kir Çıkarıcı Mutfak 1000 ML,"86,95 TL",https://www.migros.com.tr/cif-ultra-hiz-guc-yag-cozucu-sprey-leke-ve-kir-cikarici-mutfak-1000-ml-p-1d4f3a1,Migros
Migros Bulaşık Makinesi Tuzu 2 Kg,"30,95 TL",https://www.migros.com.tr/migros-bulasik-makinesi-tuzu-2-kg-p-1d081a7,Migros
Dixi Bref Çam Yüzey Temizleyici 2.5L,"115,95 TL",https://www.migros.com.tr/dixi-bref-cam-yuzey-temizleyici-25l-p-1d498f9,Migros
Dixi Bref Gül Yüzey Temizleyici 2.5 L,"115,95 TL",https://www.migros.com.tr/dixi-bref-gul-yuzey-temizleyici-25-l-p-1d498f5,Migros
Cif Jel Yüzey Temizleyici Cleanboost Tüm Yüzeyler İçin Leke Çıkarıcı Çamaşır Sulu Çiçek Ferahlığı 750 ML,"85,95 TL",https://www.migros.com.tr/cif-jel-yuzey-temizleyici-cleanboost-tum-yuzeyler-icin-leke-cikarici-camasir-sulu-cicek-ferahligi-750-ml-p-1d4c235,Migros
Pril Elde Yıkama Sıvı Bulaşık Deterjanı 750ml Losyon Aloe Vera,"66,95 TL",https://www.migros.com.tr/pril-elde-yikama-sivi-bulasik-deterjani-750ml-losyon-aloe-vera-p-1d33884,Migros
Ariel Dağ Esintisi Renklilere Özel Toz Çamaşır Deterjanı 7 Kg 46 Yıkama,"454,95 TL",https://www.migros.com.tr/ariel-dag-esintisi-renklilere-ozel-toz-camasir-deterjani-7-kg-46-yikama-p-1cbc700,Migros
Ariel Dağ Esintisi Renkliler Toz Çamaşır Deterjanı 3 Kg 20 Yıkama,"239,95 TL",https://www.migros.com.tr/ariel-dag-esintisi-renkliler-toz-camasir-deterjani-3-kg-20-yikama-p-1cbc713,Migros
Mr. Muscle KLOZET BLOK MARİNE 2'Lİ 77.2 G,"99,95 TL",https://www.migros.com.tr/mr-muscle-klozet-blok-marine-2li-772-g-p-1ddc0f1,Migros
